iter	Logloss
0	0.6872198198
1	0.68106622
2	0.6760873881
3	0.671539963
4	0.6668495313
5	0.661226622
6	0.6558344246
7	0.6504129817
8	0.6454352456
9	0.640444778
10	0.6352403057
11	0.6306460883
12	0.6270988528
13	0.6225132881
14	0.6179199034
15	0.6142184178
16	0.6098700154
17	0.6059548999
18	0.6022339571
19	0.598103408
20	0.5947299339
21	0.5906229165
22	0.5872051788
23	0.5833374368
24	0.5803839256
25	0.5770257731
26	0.5731931013
27	0.5695414026
28	0.5659212227
29	0.5626570414
30	0.5597806906
31	0.5571749116
32	0.5540009349
33	0.5509187901
34	0.5478779333
35	0.5449663479
36	0.5425235262
37	0.5393690734
38	0.5366143858
39	0.5343216363
40	0.5315302517
41	0.5291033503
42	0.5264492822
43	0.5246484673
44	0.5217159152
45	0.5190180687
46	0.5166049626
47	0.5140709505
48	0.5120851968
49	0.5097101684
50	0.5078264534
51	0.5058747703
52	0.503956024
53	0.5013774769
54	0.4999253155
55	0.4981453885
56	0.4965356326
57	0.49452614
58	0.4928128305
59	0.4908125031
60	0.4889777403
61	0.4871914595
62	0.4862283537
63	0.4847611952
64	0.4832393504
65	0.4819591621
66	0.4797744871
67	0.4785651512
68	0.476872976
69	0.4750804747
70	0.4735927382
71	0.4721824876
72	0.4710229003
73	0.4696021339
74	0.4684265607
75	0.466892843
76	0.4654637938
77	0.4642281962
78	0.4629665003
79	0.4616358733
80	0.4602389973
81	0.4591273678
82	0.4580741794
83	0.4568748342
84	0.4562949699
85	0.4550757557
86	0.4540357507
87	0.4525346317
88	0.4515422502
89	0.4504030307
90	0.4491937772
91	0.4482089892
92	0.4470867504
93	0.4461122025
94	0.4452625485
95	0.4439866032
96	0.4430137222
97	0.4424439933
98	0.4417041969
99	0.4409313798
100	0.4397653909
101	0.4388053518
102	0.4375313282
103	0.4363905212
104	0.4353600685
105	0.434486893
106	0.4337399603
107	0.4325649493
108	0.4321355023
109	0.4312486525
110	0.430501615
111	0.4297243814
112	0.4288585763
113	0.427718994
114	0.4267837035
115	0.4260631516
116	0.4251935734
117	0.4245678345
118	0.4236797826
119	0.4228397176
120	0.4219848349
121	0.4211814773
122	0.4207963675
123	0.4203097728
124	0.4199865869
125	0.4193079346
126	0.4185523931
127	0.4178278351
128	0.4169468097
129	0.4161230266
130	0.4153031712
131	0.4146424075
132	0.4142738758
133	0.4137283746
134	0.4133566898
135	0.412979416
136	0.4125558109
137	0.4118322071
138	0.4114178199
139	0.4106901392
140	0.4100787887
141	0.4095172367
142	0.4090720515
143	0.4084247355
144	0.4078015455
145	0.4071824143
146	0.4066301707
147	0.406057325
148	0.4054619472
149	0.4053105016
150	0.4048762807
151	0.4046706058
152	0.4043242778
153	0.4038343108
154	0.4035199164
155	0.4030421808
156	0.4027001595
157	0.4021788813
158	0.4015658192
159	0.4009488205
160	0.4006308868
161	0.4002244373
162	0.3996644092
163	0.3992069574
164	0.3987636377
165	0.3986544172
166	0.3979211936
167	0.3974090104
168	0.3970196919
169	0.3968876719
170	0.3962328125
171	0.395906883
172	0.3955753302
173	0.3951670183
174	0.3946339409
175	0.3943054117
176	0.3938069534
177	0.3936143659
178	0.3932011847
179	0.3929845433
180	0.3928320682
181	0.3923815123
182	0.3921312217
183	0.3918513367
184	0.3915804489
185	0.3913280005
186	0.3910751688
187	0.3909189498
188	0.3905766503
189	0.3903220199
190	0.3898004198
191	0.3894821744
192	0.3890455663
193	0.388643241
194	0.3882949433
195	0.3880714343
196	0.387821475
197	0.3876282443
198	0.3873350725
199	0.3870561014
200	0.3865624352
201	0.3864660814
202	0.3861367329
203	0.3857407303
204	0.3854512414
205	0.3849091
206	0.3847621329
207	0.3844069208
208	0.3841696076
209	0.3841123556
210	0.3836629157
211	0.3833221534
212	0.3829796288
213	0.3827726985
214	0.38225513
215	0.3820578268
216	0.3816190576
217	0.3812674049
218	0.3810074044
219	0.380691685
220	0.3802970602
221	0.3801321254
222	0.3798506298
223	0.379472337
224	0.3792406281
225	0.3789870328
226	0.3783948413
227	0.3782231372
228	0.3780326467
229	0.3778162634
230	0.3773416033
231	0.3768480349
232	0.3766322255
233	0.3765380789
234	0.3762703089
235	0.3760715421
236	0.3757151536
237	0.3755044687
238	0.3753412585
239	0.3750935738
240	0.3749189681
241	0.3746777109
242	0.3743511129
